cust_id,name,first_name,last_name,phone,customer
population,state,city,id,dob,customer
price,order_id,date,time,arrival,sales
gender,age,date_acc_created,session_time,sign_up,customer
emp_id,emp_name,emp_age,salary,experience,employee
days_since_prior_order,frequency,items,order_hour_of_day,order_dow,sales
age,healthy_eating,active_lifestyle,annual_income,quarterly_income,employee
groups,active_participation,mode_of_transport,emp_id,access_date,employee
spending_score,frequency,no_of_items,time_spent,items_checked,customer
largest_order,smallest_order,avg_order,arrival_time,departure_time,sales
hire_date,termination_date,age,length_of_service,city_name,employee
job_title,department_name,project,project_id,emp_salary,employee
Business_Travel,Daily_Rate,Department,DistanceFromHome,education,employee
Education,Education_field,emp_count,emp_num,Environment_Satisfaction,employee
Hourly_Rate,Job_Involvement,Job_Level,job_designation,Job_Role,employee
Order_ID,Order_Priority,Sales,Order_Quantity,Ship_Mode,sales
Profit,hourly_profit,name,pin_code,region,sales
consumer_name,type,time_spent,education,marital_status,customer
Kidhome,Dt_Customer,Recency,Num_Deals_Purchased,Num_Web_Purchases,customer
NumCatalogPurchases,accepted,total_bill,complain,response,customer
Product_Category,Product_Sub_Category,Product_Container,Product_Name,Product_id,sales
Z_Revenue,work_order,bill_number,quotation_number,product_name,sales
Response,customerI_D,Senior_Citizen,Partner,Dependents,customer
Phone_Service,Internet_Service,Online_Security,Tech_Support,Paperless_Billing,customer
Payment_Method,Monthly_Charges,Total_Charges,Weekly_Charges,Payment_Day,customer
Job_Satisfaction,Monthly_Income,Monthly_Rate,Over_Time,Min_Hours,employee
bid_Price,bid_Qty,ask_Price,ask_Qty,final_order,sales
shop_id,item_id,item_price,item_cnt_day,shop_name,sales
Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,StandardHours,Total_Working_Years,employee
Training_Times_Last_Year,Work_Life_Balance,Years_At_Company,YearsInCurrentRole,Years_Since_Last_Promotion,employee
date,full_Visitor_Id,session_Id,visitId,visitNum,customer
Invoice ID,Branch,Product line,Unit price,Quantity,sales
tax,total,Payment,logs,gross_margin,sales
gross_income,Gross margin percentage,rating,gross_profit,total_income,sales
JoiningYear,Education,City,PaymentTier,EverBenched,employee
ExperienceInCurrentDomain,LeaveOrNot,Experience,Projects,Level,employee
consumer_id,address,zip_code,age,purchased,customer
Cust_Serv_Calls,Data_Usage,Late_Fees,Monthly_Charge,cust_id,customer
company,publisher,genre,Year,platform,sales
NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_sales,sales
phone_number,phone_model,order PRICE,order DATE,sale_time,sales
date_of_purchase,mode_of_payment,money_recieved,money_returned,time_of_transaction,sales
ADDRESS,APARTMENT NUM,zip code,locality,landmark,customer
id,brand,categories,colors,count,sales
dateadded,dateupdated,description,dimension,sales_id,sales
order_id,features,flavors,isbn,keys,sales
manufacturer,manufacturer_number,,merchants,date_seen,sales
price_amount_min,price_amount_max,prices_availibility,condition,offers,sales
return_policy,shipping,size,source,warranty,sales
quantity,weight,reviews,id,experience,sales
surname,first_name,middle_name,title,date_of_birth,customer
job_title,country,country_id,pin_code,landmark,customer
employee_id,employee_name,emp_salary,overtime,total_hours,employee
overtime,total_income,medical_insurance,other_benefits,total_sale,employee
person_name,organisation,job,work_group,category,employee
gross_wage,base_salary,longegitivity_pay,other,separation_pay,employee
bonus,special_pay,other_benefits,avg_pay,total_pay,employee
annual_buybacks,year_ending,region,country,item_type,sales
sales_channel,order_priority,order_id,ship_date,units_sold,sales
department,divison,gender,base_salary,grade,employee
customer_id,annual_income,spending_score,age,gender,customer
year,category,satisfaction_rating,reviews,faq,customer
customer_retention,income,status,visit,time_spent,customer
member_id,membership_card,card_type,card_number,special_offer,customer
item_purchase,item_rate,item_no,item_price,item_type,sales
order_id,order_rate,order_type,order_value,order_quantity,sales
occupation,description,reviews,id,no_of_items,customer
regional_avg,state_avg,year,date_key,calendar_year,employee
fiscal_year,fiscal_quarter,fiscal_semester,calendar_quarter,sales_id,sales
unit_cost,unit_sold,total_revenue,total_cost,total_profit,sales
customer_rating,customer_review,satisfaction,frequently_asked_questions,user_experience,customer
Experience_In_Current_Domain,,overtime_pay,other_pay,benefits,employee
experience_score,area_code,landmark,visitor_id,state,customer
ORDER_NUMBER,QUANTITY_ORDERED,PRICE_EACH,ORDER_LINE_NUMBER,STATUS,sales
sales_date,ORDER_DATE,QTR_ID,MONTH_ID,YEAR_ID,sales
consumer_call,contact_number,duration,consumer_id,email_id,customer
M01AB,M01AE,N02BA,N02BE,N05B,sales
Month,Year,R06,R03,R07,sales
id,Clothing_id,review_text,recommended,feedback,customer
divison_name,department_name,class_name,group,work_id,employee
region ,age,income,marital,addtress,customer
pension,pension_rate,retirement,tdp,employ,employee
customer_type,travel_type,comfort,destination,cleanliness,customer
organisation_name,organisation_code,employee_count,effective_date,Annual_Income_Class,employee
order_time,day_of_week,order_id,order_priority,order_date,sales
building_id,registration_id,email,contact,personal_details,customer
date_hired,assigned_divison,current_age,highest_education,job_title,employee
id,age,nationality,ethnicity,group,customer
council_district,place,state,phone_number,date_of_birth,customer
bin,bbl,nta,sales_rate,id,sales
post_code,latitude,ethnic_group,longitude,community_board,customer
consumer_name,type,description,type,items,customer
Target,deadline,directorate,service,service_function,employee
employers_pension_contribution,bonus_value,expense_allowance_value,budget,bonus_details,employee
loss,compensation_value,salary_paid_in_year,pension_compensation,,employee
organisation_code,organisation_name,,account_name,job_title,employee
